"ID";"Paper";"Decision";"Region_considered"
2818;261;"Excluded: Data not possible to normalize";"Substantia nigra"
2819;262;"Excluded: Data not possible to normalize";"Substantia nigra"
2820;263;"Already included";"Substantia nigra"
2821;264;"Excluded: No data of interest";"Substantia nigra"
2822;265;"Excluded: Treated animals only";"Substantia nigra"
2823;266;"Excluded: Treated animals only";"Substantia nigra"
2824;267;"Excluded: No data of interest";"Substantia nigra"
2825;268;"Excluded: Treated animals only";"Substantia nigra"
2826;269;"Excluded: No quantitative information";"Substantia nigra"
2827;270;"Excluded: No quantitative information";"Substantia nigra"
2828;272;"Excluded: Data in graphs only";"Substantia nigra"
2829;271;"Wrong initial decision, include";"Substantia nigra"
2830;273;"Included";"Substantia nigra"
2831;274;"Excluded: No data of interest";"Substantia nigra"
2832;275;"Excluded: No quantitative information";"Substantia nigra"
2833;276;"Excluded: Data not possible to normalize";"Substantia nigra"
2834;278;"Excluded: Treated animals only";"Substantia nigra"
2835;277;"Excluded: Treated animals only";"Substantia nigra"
2836;279;"Excluded: No data of interest";"Substantia nigra"
2837;280;"Excluded: Treated animals only";"Substantia nigra"
2838;281;"Excluded: No quantitative information";"Substantia nigra"
2839;282;"Excluded: No quantitative information";"Substantia nigra"
2840;283;"Excluded: No data of interest";"Substantia nigra"
2841;285;"Excluded: No data of interest";"Substantia nigra"
2842;284;"Excluded: No data of interest";"Substantia nigra"
2843;286;"Excluded: Data not possible to normalize";"Substantia nigra"
2844;287;"Excluded: Data not possible to normalize";"Substantia nigra"
2845;288;"Excluded: Treated animals only";"Substantia nigra"
2846;289;"Excluded: No quantitative information";"Substantia nigra"
2847;290;"Excluded: No data of interest";"Substantia nigra"
2848;291;"Excluded: No data of interest";"Substantia nigra"
2849;292;"Excluded: Data not possible to normalize";"Substantia nigra"
2850;293;"Excluded: Treated animals only";"Substantia nigra"
2851;294;"Included";"Substantia nigra"
2852;295;"Included";"Substantia nigra"
2853;296;"Already included";"Substantia nigra"
2854;297;"Excluded: No quantitative information";"Substantia nigra"
2855;298;"Excluded: No data of interest";"Substantia nigra"
2856;299;"Excluded: Treated animals only";"Substantia nigra"
2857;300;"Already included";"Substantia nigra"
2858;301;"Already included";"Substantia nigra"
2859;302;"Excluded: No quantitative information";"Substantia nigra"
2860;303;"Excluded: Treated animals only";"Substantia nigra"
2861;304;"Excluded: No data of interest";"Substantia nigra"
2862;305;"Excluded: Data in graphs only";"Substantia nigra"
2863;306;"Excluded: No data of interest";"Substantia nigra"
2864;307;"Excluded: No data of interest";"Substantia nigra"
2865;308;"Excluded: Treated animals only";"Substantia nigra"
2866;309;"Excluded: Data in graphs only";"Substantia nigra"
2867;310;"Excluded: Data not possible to normalize";"Substantia nigra"
2868;311;"Excluded: Treated animals only";"Substantia nigra"
2869;312;"Excluded: Treated animals only";"Substantia nigra"
2870;313;"Excluded: No quantitative information";"Substantia nigra"
2871;314;"Excluded: Treated animals only";"Substantia nigra"
2872;315;"Excluded: No data of interest";"Substantia nigra"
2873;316;"Excluded: Data not possible to normalize";"Substantia nigra"
2874;317;"Excluded: No quantitative information";"Substantia nigra"
2875;318;"Excluded: No data of interest";"Substantia nigra"
2876;320;"Excluded: No data of interest";"Substantia nigra"
2877;319;"Excluded: No data of interest";"Substantia nigra"
2878;321;"Excluded: No quantitative information";"Substantia nigra"
2879;322;"Excluded: No quantitative information";"Substantia nigra"
2880;323;"Excluded: No quantitative information";"Substantia nigra"
2881;324;"Excluded: No data of interest";"Substantia nigra"
2882;325;"Excluded: No quantitative information";"Substantia nigra"
2883;326;"Excluded: No data of interest";"Substantia nigra"
2884;327;"Excluded: Treated animals only";"Substantia nigra"
2885;328;"Excluded: Data not possible to normalize";"Substantia nigra"
2886;329;"Excluded: Data in graphs only";"Substantia nigra"
2887;330;"Excluded: Data not possible to normalize";"Substantia nigra"
2888;331;"Excluded: No quantitative information";"Substantia nigra"
2889;332;"Excluded: Data not possible to normalize";"Substantia nigra"
2890;333;"Excluded: No data of interest";"Substantia nigra"
2891;334;"Excluded: No quantitative information";"Substantia nigra"
2892;335;"Excluded: No quantitative information";"Substantia nigra"
2893;336;"Excluded: No data of interest";"Substantia nigra"
2894;337;"Excluded: No quantitative information";"Substantia nigra"
2895;338;"Excluded: Data not possible to normalize";"Substantia nigra"
2896;339;"Excluded: Treated animals only";"Substantia nigra"
2897;340;"Excluded: No data of interest";"Substantia nigra"
2898;341;"Excluded: No data of interest";"Substantia nigra"
2899;342;"Excluded: No data of interest";"Substantia nigra"
2900;343;"Excluded: No data of interest";"Substantia nigra"
2901;344;"Excluded: No data of interest";"Substantia nigra"
2902;345;"Excluded: No data of interest";"Substantia nigra"
2903;346;"Excluded: Treated animals only";"Substantia nigra"
2904;347;"Excluded: Treated animals only";"Substantia nigra"
2905;348;"Excluded: No quantitative information";"Substantia nigra"
2906;349;"Excluded: No quantitative information";"Substantia nigra"
2907;350;"Excluded: No data of interest";"Substantia nigra"
2908;351;"Excluded: No data of interest";"Substantia nigra"
2909;352;"Excluded: No data of interest";"Substantia nigra"
2910;353;"Excluded: Treated animals only";"Substantia nigra"
2911;354;"Excluded: No data of interest";"Substantia nigra"
2912;355;"Excluded: Data not possible to normalize";"Substantia nigra"
2913;356;"Excluded: No data of interest";"Substantia nigra"
2914;357;"Excluded: Treated animals only";"Substantia nigra"
2915;358;"Included";"Substantia nigra"
2916;359;"Excluded: No quantitative information";"Substantia nigra"
2917;360;"Excluded: No data of interest";"Substantia nigra"
2918;361;"Excluded: Treated animals only";"Substantia nigra"
2919;362;"Excluded: No quantitative information";"Substantia nigra"
2920;363;"Excluded: No quantitative information";"Substantia nigra"
2921;364;"Excluded: No data of interest";"Substantia nigra"
2922;365;"Excluded: No quantitative information";"Substantia nigra"
2923;366;"Excluded: Data not possible to normalize";"Substantia nigra"
2924;367;"Excluded: Treated animals only";"Substantia nigra"
2925;368;"Excluded: Treated animals only";"Substantia nigra"
2926;369;"Excluded: No data of interest";"Substantia nigra"
2927;370;"Excluded: Data in graphs only";"Substantia nigra"
2928;371;"Excluded: No english version available";"Substantia nigra"
2929;372;"Excluded: Data not possible to normalize";"Substantia nigra"
